name,url,Trim,Mileage,Engine,NCT_Expiry,Year,Transmission,Total_Owners,Make,Fuel_Type,Body_Type,Doors,Trim_Level,Seats,Colour,Road_Tax,Current_Country_Of_Reg,Imported,County,Independant_Dealer,Dublin2,Model,Price,Engine_Size,External_Length,Fuel_Tank_Capacity,External_Width,Rural_Fuel_Consumption,Comb_Fuel_Consumption,Urban_Fuel_Consumption,External_Height,Boot_Volume,Ground_Clearance,Euro_NCAP_Overall_Safety_Rating,Engine_Power,Top_Speed,Acceleration,Child_Protection_Rating,Safety_Assistance_Rating,Adult_Protection_Rating,Pedestrian_Protection_Rating,Battery_Capacity
Nissan QASHQAI 1.3 PET Mild Hybrid SV CVT,https://www.donedeal.ie/cars-for-sale/nissan-qashqai-1-3-pet-mild-hybrid-sv-cvt/39296825,SV,"42,500 km",1.3 L Petrol,Jan 2026,2022,Automatic,1,Nissan,Petrol,MPV,4,Medium Trim,5,Grey,270,Ireland,No,,Franchise Dealer,Co. Limerick,Qashqai,"€31,950",1.3 L,4.43 m,55 L,1.84 m,,6.3 L/100 km,,,"1,593 L",,5/5,,,,91%,95%,91%,70%,
Citroen C4 1.6D BlueHDi 100 Feel,https://www.donedeal.ie/cars-for-sale/citroen-c4-1-6d-bluehdi-100-feel/39296823,Feel,"181,052 km",1.6 L Diesel,Jul 2026,2016,Manual,4,Citroen,Diesel,Hatchback,4,Medium Trim,5,Grey,180,Ireland,No,Co. Mayo,"Franchise Dealer
4.4/5","Ballina, Co. Mayo",C4,"€10,950",1.6 L,4.33 m,60 L,1.79 m,3.2 L/100 km,3.6 L/100 km,4.4 L/100 km,1.49 m,"1,183 L",,,,,,,,,,
Ford Mondeo 2.0 diesel 2017,https://www.donedeal.ie/cars-for-sale/ford-mondeo-2-0-diesel-2017/39079789,Titanium,"228,000 km",2.0 L Diesel,Jan 2027,2017,Manual,2,Ford,Diesel,Estate,4,Luxury Trim,5,Grey,200,Ireland,No,,"Private Seller
No rating yet","Ashbourne, Co. Meath",Mondeo,"€11,000",2.0 L,4.87 m,,1.85 m,4.1 L/100 km,4.5 L/100 km,5.1 L/100 km,1.50 m,,,5/5,,,,82%,66%,86%,66%,
Skoda Superb Sportline 190hp DSG,https://www.donedeal.ie/cars-for-sale/skoda-superb-sportline-190hp-dsg/39025395,Ambition,"296,000 km",2.0 L Diesel,Jun 2025,2017,Automatic,2,Skoda,Diesel,Saloon,4,Medium Trim,5,Grey,200,Ireland,No,,"Private Seller
No rating yet","Drumshambo, Co. Leitrim",Superb,"€11,500",2.0 L,4.86 m,,1.86 m,4.0 L/100 km,4.5 L/100 km,4.9 L/100 km,1.47 m,,,5/5,,,,86%,76%,86%,71%,
Volkswagen Golf 2014 GTD,https://www.donedeal.ie/cars-for-sale/volkswagen-golf-2014-gtd/39219494,GTD,"117,000 mi",2.0 L Diesel,Nov 2025,2014,Automatic,2,Volkswagen,Diesel,Hatchback,5,Sports Trim,5,Red,270,Ireland,UK,,"Private Seller
No rating yet","Westport, Co. Mayo",Golf,"€12,950",2.0 L,4.27 m,50 L,1.80 m,4.0 L/100 km,4.5 L/100 km,5.5 L/100 km,1.44 m,"1,270 L",13 cm,5/5,,,,89%,71%,94%,65%,
"Volkswagen Golf Hatchback, Highline spec, 172 reg.",https://www.donedeal.ie/cars-for-sale/volkswagen-golf-hatchback-highline-spec-172-reg-/39239434,Highline,"210,000 km",1.6 L Diesel,Jul 2025,2017,Manual,2,Volkswagen,Diesel,Hatchback,5,Medium Trim,5,Grey,190,Ireland,No,,"Private Seller
5.0/5 (1)","Kilmacthomas, Co. Waterford",Golf,"€13,890",1.6 L,4.26 m,,1.79 m,3.9 L/100 km,4.2 L/100 km,4.7 L/100 km,1.49 m,,,5/5,,,,89%,71%,94%,65%,
Audi A4 2005,https://www.donedeal.ie/cars-for-sale/audi-a4-2005/39296645,N,---,1.9 L Diesel,Aug 2025,2005,Manual,3,Audi,,,,,,,673,Ireland,No,,"Private Seller
No rating yet","Mullingar, Co. Westmeath",A4,€750,,,,,,,,,,,,,,,,,,,
Opel Astra Turbo Diesel ( 172 Reg ) Leather,https://www.donedeal.ie/cars-for-sale/opel-astra-turbo-diesel-172-reg-leather/39122538,ELITE,"94,000 mi",1.6 L Diesel,Mar 2027,2017,Manual,2,Opel,Diesel,Hatchback,5,Luxury Trim,5,White,170,Ireland,No,Co. Galway,Independent Dealer,Co. Galway,Astra,"€11,950",1.6 L,4.37 m,,1.87 m,3.6 L/100 km,3.9 L/100 km,4.6 L/100 km,1.49 m,"1,210 L",,5/5,,,,,,,,
Renault Captur 1.0 TCe 90 Dfull Limited,https://www.donedeal.ie/cars-for-sale/renault-captur-1-0-tce-90-dfull-limited/38859844?campaign=3,Limited,"43,555 km",1.0 L Petrol,Sep 2026,2022,Manual,2,Renault,Petrol,Hatchback,5,Base Trim,5,Grey,210,Ireland,No,Co. Dublin,Franchise Dealer,"Tallaght, Co. Dublin",Captur,"€22,700",1.0 L,4.23 m,,1.80 m,,5.9 L/100 km,,,,,5/5,,,,83%,74%,96%,75%,
2017 BMW 320D M-SPORT SHADOW EDITION AUTO,https://www.donedeal.ie/cars-for-sale/2017-bmw-320d-m-sport-shadow-edition-auto/39321982?campaign=3,M Sport Shadow Edition,"92,577 km",2.0 L Diesel,---,2017,Automatic,1,BMW,Diesel,Saloon,4,Medium Trim,5,White,200,Ireland,Unknown,Co. Louth,Independent Dealer,"Dundalk, Co. Louth",3-Series,"€24,750",2.0 L,4.63 m,,1.81 m,3.9 L/100 km,4.4 L/100 km,5.3 L/100 km,1.43 m,480 L,14 cm,,,,,,,,,
2020 (202) Mercedes-Benz A250E AMG-LINE AUTO,https://www.donedeal.ie/cars-for-sale/2020-202-mercedes-benz-a250e-amg-line-auto/34918218?campaign=3,AMG Line,"27,628 mi",1.3 L Petrol Plug-in Hybrid,---,2020,Automatic,1,Mercedes-Benz,Petrol Plug-in Hybrid,Saloon,4,Base Trim,5,Black,170,Ireland,No,Co. Carlow,"Independent Dealer
4.8/5",Co. Carlow,A-Class,"€30,800",1.3 L,4.55 m,,1.80 m,4.7 L/100 km,5.9 L/100 km,7.8 L/100 km,1.45 m,,11 cm,,224 hp,,6.3 sec,,,,,0 kWh
Mercedes-Benz E-Class 2014,https://www.donedeal.ie/cars-for-sale/mercedes-benz-e-class-2014/39270894,---,"185,863 mi",2.1 L Diesel,May 2025,2014,Automatic,---,Mercedes-Benz,Diesel,Saloon,4,---,---,Black,,Ireland,Unknown,,"Private Seller
No rating yet","Shannon, Co. Clare",E-Class,"€11,000",,,,,,,,,,,,,,,,,,,
Skoda Kodiaq 7 SEATER SPORTLINE 2.0 TDI 15 150HP D,https://www.donedeal.ie/cars-for-sale/skoda-kodiaq-7-seater-sportline-2-0-tdi-15-150hp-d/38815638,SportLine,"79,513 km",2.0 L Diesel,Oct 2025,2021,Automatic,2,Skoda,Diesel,Estate,5,Sports Trim,7,Grey,270,Ireland,No,,Franchise Dealer,"Castlebar, Co. Mayo",Kodiaq,"€46,500",2.0 L,4.70 m,,1.88 m,,5.4 L/100 km,,1.69 m,,,,,,,,,,,
Toyota C-HR Hybrid Sport 4DR Auto,https://www.donedeal.ie/cars-for-sale/toyota-c-hr-hybrid-sport-4dr-auto/38777922,Sport,"78,000 km",1.8 L Petrol,Jan 2027,2023,Automatic,1,Toyota,Petrol,Hatchback,4,Sports Trim,5,Red,,Ireland,No,,Franchise Dealer,"Castlebar, Co. Mayo",C-HR,"€28,500",1.8 L,4.39 m,,1.80 m,,,,,,,5/5,,,,77%,78%,95%,76%,
Hyundai Kona 1.0 Petrol Turbo Executive 5DR,https://www.donedeal.ie/cars-for-sale/hyundai-kona-1-0-petrol-turbo-executive-5dr/38777917,Executive,"20,978 km",1.0 L Petrol,Oct 2026,2022,Manual,1,Hyundai,Petrol,MPV,5,Medium Trim,5,Grey,,Ireland,No,,Franchise Dealer,"Castlebar, Co. Mayo",KONA,"€24,500",1.0 L,4.17 m,50 L,1.80 m,,,,1.57 m,"1,143 L",17 cm,5/5,,,,85%,60%,87%,62%,
Hyundai Tucson Executive Plus HEV 5DR Auto,https://www.donedeal.ie/cars-for-sale/hyundai-tucson-executive-plus-hev-5dr-auto/38815640,Executive Plus,"44,873 km",1.6 L Petrol Hybrid,Jan 2026,2022,Automatic,1,Hyundai,Petrol Hybrid,MPV,5,Luxury Trim,5,Blue,,Ireland,No,,Franchise Dealer,"Castlebar, Co. Mayo",Tucson,"€38,500",1.6 L,4.48 m,52 L,1.85 m,,,,1.66 m,"1,503 L",17 cm,,230 hp,193 km/h,8.0 sec,,,,,1.5 kWh
Hyundai Tucson 1.6 DIESEL EXECUTIVE PLUS 5DR,https://www.donedeal.ie/cars-for-sale/hyundai-tucson-1-6-diesel-executive-plus-5dr/38777924,Executive Plus,"71,000 km",1.6 L Diesel,Jan 2026,2022,Manual,1,Hyundai,Diesel,MPV,5,Luxury Trim,5,Red,270,Ireland,No,,Franchise Dealer,"Castlebar, Co. Mayo",Tucson,"€33,250",1.6 L,4.48 m,55 L,1.85 m,,5.3 L/100 km,,1.66 m,"1,503 L",17 cm,,,,,,,,,
Hyundai Tucson Phev Executive Plus 2 T Tone 5DR,https://www.donedeal.ie/cars-for-sale/hyundai-tucson-phev-executive-plus-2-t-tone-5dr/38777919,Executive Plus,"51,933 km",1.6 L Petrol Plug-in Hybrid,Jul 2025,2021,Automatic,2,Hyundai,Petrol Plug-in Hybrid,MPV,5,Luxury Trim,5,Brown,,Ireland,No,,Franchise Dealer,"Castlebar, Co. Mayo",Tucson,"€35,900",,,,,,,,,,,,,,,,,,,
Hyundai Tucson Executive HEV 5DR Auto,https://www.donedeal.ie/cars-for-sale/hyundai-tucson-executive-hev-5dr-auto/38692250,Comfort Plus,"34,153 km",1.6 L Petrol Hybrid,Jan 2027,2023,Automatic,1,Hyundai,Petrol Hybrid,MPV,5,Base Trim,5,Grey,,Ireland,No,,Franchise Dealer,"Castlebar, Co. Mayo",Tucson,"€39,900",1.6 L,4.50 m,52 L,1.87 m,,,,1.65 m,"1,795 L",17 cm,5/5,230 hp,193 km/h,8.0 sec,87%,70%,86%,66%,1.5 kWh
Toyota Yaris 1.0 Luna 4DR,https://www.donedeal.ie/cars-for-sale/toyota-yaris-1-0-luna-4dr/38737065,Luna,"60,790 km",1.0 L Petrol,Mar 2025,2019,Manual,1,Toyota,Petrol,Hatchback,4,Medium Trim,5,Grey,,Ireland,No,,Franchise Dealer,"Castlebar, Co. Mayo",Yaris,"€16,500",1.0 L,3.95 m,42 L,1.70 m,,,,1.51 m,768 L,14 cm,5/5,,,,80%,57%,83%,63%,
Hyundai i10 Deluxe Auto 5DR,https://www.donedeal.ie/cars-for-sale/hyundai-i10-deluxe-auto-5dr/38692249,Deluxe,"37,285 km",1.0 L Petrol,Feb 2026,2022,Automatic,1,Hyundai,Petrol,Hatchback,5,Medium Trim,5,Grey,,Ireland,No,,Franchise Dealer,"Castlebar, Co. Mayo",i10,"€18,500",1.0 L,3.67 m,36 L,1.68 m,,,,1.48 m,"1,010 L",15 cm,3/5,,,,75%,59%,69%,52%,
Hyundai Kona Executive Hybrid 5DR Auto,https://www.donedeal.ie/cars-for-sale/hyundai-kona-executive-hybrid-5dr-auto/38717282,Executive,"36,315 km",1.6 L Petrol Hybrid,Jan 2026,2022,Automatic,2,Hyundai,Petrol Hybrid,MPV,5,Medium Trim,5,White,,Ireland,No,,Franchise Dealer,"Castlebar, Co. Mayo",KONA,"€31,500",1.6 L,4.17 m,38 L,1.80 m,,,,1.57 m,"1,143 L",17 cm,5/5,141 hp,160 km/h,11.0 sec,85%,60%,87%,62%,1.6 kWh
Skoda Octavia dsg Auto Ambition 1.6 TDI 115HP 4,https://www.donedeal.ie/cars-for-sale/skoda-octavia-dsg-auto-ambition-1-6-tdi-115hp-4/38690968,Ambition,"147,082 km",1.6 L Diesel,May 2026,2018,Automatic,2,Skoda,Diesel,Hatchback,4,Medium Trim,5,White,,Ireland,No,,Franchise Dealer,"Castlebar, Co. Mayo",Octavia,"€18,750",1.6 L,4.66 m,,1.81 m,,,,1.46 m,"1,580 L",,5/5,,,,86%,66%,93%,82%,
Hyundai Tucson PHEV N LINE TWO TONE,https://www.donedeal.ie/cars-for-sale/hyundai-tucson-phev-n-line-two-tone/38550214,Executive,"7,300 km",1.6 L Petrol Plug-in Hybrid,Jul 2028,2024,Automatic,1,Hyundai,Petrol Plug-in Hybrid,MPV,5,Medium Trim,5,Red,140,Ireland,No,,Franchise Dealer,"Castlebar, Co. Mayo",Tucson,"€49,450",1.6 L,4.50 m,42 L,1.87 m,,1.4 L/100 km,,1.65 m,"1,737 L",17 cm,5/5,,,,87%,70%,86%,66%,13.8 kWh
Hyundai Kona Kauai Executive 5DR Petrol,https://www.donedeal.ie/cars-for-sale/hyundai-kona-kauai-executive-5dr-petrol/38690966,Executive,"27,344 km",1.0 L Petrol,Sep 2026,2022,Manual,1,Hyundai,Petrol,MPV,5,Medium Trim,5,Green,,Ireland,No,,Franchise Dealer,"Castlebar, Co. Mayo",KONA,"€24,500",1.0 L,4.17 m,50 L,1.80 m,,,,1.57 m,"1,143 L",17 cm,5/5,,,,85%,60%,87%,62%,
Hyundai Santa Fe PHEV PREMIUM CALLIGRAPHY,https://www.donedeal.ie/cars-for-sale/hyundai-santa-fe-phev-premium-calligraphy/38550220,Premium,"3,100 km",1.6 L Petrol Plug-in Hybrid,Jul 2028,2024,Automatic,1,Hyundai,Petrol Plug-in Hybrid,SUV,5,Base Trim,7,Blue,140,Ireland,No,,Franchise Dealer,"Castlebar, Co. Mayo",Santa Fe,"€67,900",1.6 L,4.79 m,47 L,1.90 m,,1.7 L/100 km,,1.71 m,"1,695 L",18 cm,5/5,265 hp,187 km/h,8.8 sec,88%,76%,94%,67%,13.8 kWh
Hyundai i30 N LINE PETROL,https://www.donedeal.ie/cars-for-sale/hyundai-i30-n-line-petrol/38550212,NLine,"3,327 km",1.0 L Petrol,Jul 2028,2024,Manual,1,Hyundai,Petrol,Hatchback,5,Luxury Trim,5,Green,210,Ireland,No,,Franchise Dealer,"Castlebar, Co. Mayo",i30,"€29,900",1.0 L,4.34 m,50 L,1.80 m,,6.2 L/100 km,,1.46 m,"1,301 L",14 cm,5/5,,,,84%,68%,88%,64%,
Hyundai Santa Fe **HIGH SPEC PLUG-IN HYBRID** PHEV,https://www.donedeal.ie/cars-for-sale/hyundai-santa-fe-high-spec-plug-in-hybrid-phev/37975716,Premium,"37,090 km",1.6 L Petrol Plug-in Hybrid,Jan 2026,2022,Automatic,1,Hyundai,Petrol Plug-in Hybrid,Estate,5,Medium Trim,7,Grey,140,Ireland,No,,Franchise Dealer,"Castlebar, Co. Mayo",Santa Fe,"€47,450",1.6 L,4.79 m,47 L,1.90 m,,1.7 L/100 km,,1.71 m,"1,695 L",18 cm,5/5,265 hp,187 km/h,8.8 sec,88%,76%,94%,67%,13.8 kWh
Hyundai IONIQ 6 SIGNATURE - 429KM RANGE - 53KWH 4D,https://www.donedeal.ie/cars-for-sale/hyundai-ioniq-6-signature-429km-range-53kwh-4d/38044157,Signature,"1,040 km",429 km (WLTP) Electric,Jul 2028,2024,Automatic,1,Hyundai,Electric,Saloon,4,Base Trim,5,Grey,120,Ireland,No,,Franchise Dealer,"Castlebar, Co. Mayo",IONIQ 6,"€35,450",,4.86 m,,1.88 m,,,,,401 L,,5/5,151 hp,185 km/h,7.4 sec,87%,90%,97%,66%,
Hyundai Tucson Executive Plus HEV PTG 5DR Auto,https://www.donedeal.ie/cars-for-sale/hyundai-tucson-executive-plus-hev-ptg-5dr-auto/37764474,Executive Plus,"11,000 km",1.6 L Petrol Hybrid,Jul 2027,2023,Automatic,1,Hyundai,Petrol Hybrid,MPV,5,Luxury Trim,5,Grey,,Ireland,No,,Franchise Dealer,"Castlebar, Co. Mayo",Tucson,"€41,750",1.6 L,4.50 m,52 L,1.87 m,,,,1.65 m,"1,795 L",17 cm,5/5,230 hp,193 km/h,8.0 sec,87%,70%,86%,66%,1.5 kWh
Hyundai Santa Fe PHEV 5DR AUTO,https://www.donedeal.ie/cars-for-sale/hyundai-santa-fe-phev-5dr-auto/37773575,Executive Plus,"47,401 km",1.6 L Petrol Plug-in Hybrid,Jan 2026,2022,Automatic,1,Hyundai,Petrol Plug-in Hybrid,Estate,5,Medium Trim,7,Grey,140,Ireland,No,,Franchise Dealer,"Castlebar, Co. Mayo",Santa Fe,"€46,900",1.6 L,4.79 m,47 L,1.90 m,,1.7 L/100 km,,1.71 m,"1,695 L",18 cm,5/5,265 hp,187 km/h,8.8 sec,88%,76%,94%,67%,13.8 kWh
Hyundai Tucson EXECUTIVE PLUS HEV PTG,https://www.donedeal.ie/cars-for-sale/hyundai-tucson-executive-plus-hev-ptg/37266242,Executive Plus,"12,047 km",1.6 L Petrol Hybrid,Jan 2028,2024,Automatic,1,Hyundai,Petrol Hybrid,SUV,5,Luxury Trim,5,Silver,200,Ireland,No,,Franchise Dealer,"Castlebar, Co. Mayo",Tucson,"€43,450",1.6 L,4.50 m,52 L,1.87 m,,5.7 L/100 km,,1.65 m,"1,795 L",17 cm,5/5,230 hp,193 km/h,8.0 sec,87%,70%,86%,66%,1.5 kWh
Hyundai Tucson EXECUTIVE 4WD PHEV **BEAUTIFUL EXAM,https://www.donedeal.ie/cars-for-sale/hyundai-tucson-executive-4wd-phev-beautiful-exam/37024627,Executive,"28,650 km",1.6 L Petrol Plug-in Hybrid,Feb 2026,2022,Automatic,1,Hyundai,Petrol Plug-in Hybrid,SUV,5,---,5,Blue,140,Ireland,No,,Franchise Dealer,"Castlebar, Co. Mayo",Tucson,"€36,450",,,,,,,,,,,,,,,,,,,
Hyundai IONIQ 6 77KWH - 614KM RANGE - **LIKE NEW C,https://www.donedeal.ie/cars-for-sale/hyundai-ioniq-6-77kwh-614km-range-like-new-c/36205925,Signature,"9,357 km",429 km (WLTP) Electric,May 2027,2023,Automatic,1,Hyundai,Electric,Saloon,5,Base Trim,5,Black,120,Ireland,No,,Franchise Dealer,"Castlebar, Co. Mayo",IONIQ 6,"€34,450",,4.86 m,,1.88 m,,,,1.50 m,,,5/5,,,,87%,90%,97%,66%,
Nissan Juke SVE HEV delivery Mileage,https://www.donedeal.ie/cars-for-sale/nissan-juke-sve-hev-delivery-mileage/37987266,SVE,99 km,1.6 L Petrol Hybrid,---,2024,Automatic,---,Nissan,Petrol Hybrid,Crossover,---,Medium Trim,5,White,190,Ireland,No,Co. Meath,Franchise Dealer,Co. Meath,Juke,"€33,450",1.6 L,4.21 m,46 L,1.80 m,,5.1 L/100 km,,,"1,305 L",,5/5,143 hp,166 km/h,10.1 sec,85%,73%,94%,81%,1.2 kWh
Audi A5 coupe,https://www.donedeal.ie/cars-for-sale/audi-a5-coupe/39079623,N,"130,000 mi",2.7 L Diesel,Feb 2026,2010,Automatic,9,Audi,,,,,,,790,Ireland,No,,"Private Seller
No rating yet","Tullamore, Co. Offaly",A5,"€5,700",,,,,,,,,,,,,,,,,,,
Toyota Verso 2010,https://www.donedeal.ie/cars-for-sale/toyota-verso-2010/39296515,N,"150,000 mi",2.0 L Diesel,Jul 2025,2010,Unknown,3,Toyota,,,,,,,280,Ireland,UK,,Independent Dealer,"Ballinagh, Co. Cavan",Verso,"€4,500",2.0 L,,,,,,,,,,,,,,,,,,
Toyota Auris 2016,https://www.donedeal.ie/cars-for-sale/toyota-auris-2016/39296495,Aura,"334,000 km",1.4 L Diesel,May 2026,2016,Manual,1,Toyota,Diesel,Estate/Jeep,4,Base Trim,5,Red,190,Ireland,No,,Independent Dealer,"Ballinagh, Co. Cavan",Auris,"€10,750",1.4 L,4.56 m,50 L,1.76 m,3.5 L/100 km,3.9 L/100 km,4.4 L/100 km,1.48 m,"1,658 L",,,,,,,,,,
Nissan Qashqai,https://www.donedeal.ie/cars-for-sale/nissan-qashqai/39296478,XE,"174,000 mi",1.5 L Diesel,Dec 2025,2011,Manual,3,Nissan,Diesel,Hatchback,5,Base Trim,5,White,280,Ireland,N. Ireland,,"Private Seller
No rating yet","Killarney, Co. Kerry",Qashqai,"€4,200",1.5 L,4.33 m,,1.78 m,4.6 L/100 km,5.2 L/100 km,6.3 L/100 km,1.62 m,,,,,,,,,,,
Skoda Kodiaq 2.0 TDI 150HP DSG Style 7 Seat,https://www.donedeal.ie/cars-for-sale/skoda-kodiaq-2-0-tdi-150hp-dsg-style-7-seat/38729293,Style,"62,984 km",2.0 L Diesel,Feb 2025,2021,Automatic,1,Skoda,Diesel,SUV,5,Luxury Trim,7,Black,270,Ireland,No,Co. Meath,Franchise Dealer,Co. Meath,Kodiaq,"€41,950",2.0 L,4.70 m,,1.88 m,,5.4 L/100 km,,1.68 m,,,,,,,,,,,
Kia Sportage 2017,https://www.donedeal.ie/cars-for-sale/kia-sportage-2017/39060075,PLATINUM S,"191,000 km",1.7 L Diesel,Jan 2025,2017,Manual,2,Kia,Diesel,SUV,5,Medium Trim,5,White,200,Ireland,No,,Franchise Dealer,Co. Cork,Sportage,€0,1.7 L,4.48 m,,1.86 m,4.2 L/100 km,4.6 L/100 km,5.4 L/100 km,1.65 m,,,,,,,,,,,
Ford Mondeo 1.6 Zetec,https://www.donedeal.ie/cars-for-sale/ford-mondeo-1-6-zetec/39502555?campaign=3,N,"181,832 km",1.6 L Petrol,Nov 2025,2007,Manual,2,Ford,,,,,,,514,Ireland,No,,"Private Seller
No rating yet","Swords, Co. Dublin",Mondeo,"€1,650",,,,,,,,,,,,,,,,,,,
Audi a7 s line black edition Quattro,https://www.donedeal.ie/cars-for-sale/audi-a7-s-line-black-edition-quattro/39466619?campaign=3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peugeot 2008 115kW Allure 54kwh 5dr Auto,https://www.donedeal.ie/cars-for-sale/peugeot-2008-115kw-allure-54kwh-5dr-auto/39431827?campaign=3,---,1 mi,Electric,---,2024,Automatic,---,Peugeot,Electric,---,---,---,5,White,,,,,Independent Dealer,"Londonderry, Co. Derry",2008,"£26,285",,,,,,,,,,,,,,,,,,,
Audi A6 Black Edition Full service history,https://www.donedeal.ie/cars-for-sale/audi-a6-black-edition-full-service-history/39296444,S Line,"120,000 mi",2.0 L Diesel,Oct 2025,2015,Manual,2,Audi,Diesel,Estate,4,Sports Trim,5,Grey,270,Ireland,UK,,"Private Seller
No rating yet","Athlone, Co. Westmeath",A6,"€16,000",2.0 L,4.93 m,,1.87 m,3.8 L/100 km,4.3 L/100 km,5.1 L/100 km,1.46 m,,,5/5,,,,83%,86%,91%,41%,
Hyundai Kona N-line 1.0 Petrol Manual,https://www.donedeal.ie/cars-for-sale/hyundai-kona-n-line-1-0-petrol-manual/38381849,Comfort,"82,000 km",1.0 L Petrol,Feb 2026,2022,Manual,1,Hyundai,Petrol,MPV,5,Base Trim,5,Red,210,Ireland,No,Co. Galway,"Franchise Dealer
4.7/5",Co. Galway,KONA,"€23,950",1.0 L,4.17 m,50 L,1.80 m,,5.8 L/100 km,,1.55 m,"1,143 L",17 cm,5/5,,,,85%,60%,87%,62%,
Nissan Micra 1.0 SV 5DR Manual Retail Price 16 9,https://www.donedeal.ie/cars-for-sale/nissan-micra-1-0-sv-5dr-manual-retail-price-16-9/39296387,SV,"29,375 mi",1.0 L Petrol,Jul 2026,2020,Manual,2,Nissan,Petrol,Hatchback,4,Medium Trim,5,Blue,,Ireland,No,Co. Louth,Franchise Dealer,"Dundalk, Co. Louth",Micra,"€14,950",1.0 L,4.00 m,41 L,1.74 m,,,,1.46 m,"1,004 L",15 cm,4/5,,,,79%,49%,91%,68%,
BMW 5 Series D 5e52 4DR Auto SE G1,https://www.donedeal.ie/cars-for-sale/bmw-5-series-d-5e52-4dr-auto-se-g1/39296367,SE,"207,360 km",2.0 L Diesel,Nov 2025,2015,---,2,BMW,Diesel,Saloon,4,Base Trim,5,Silver,,Ireland,No,Co. Mayo,Independent Dealer,"Castlebar, Co. Mayo",5-Series,"€14,950",2.0 L,4.91 m,,1.86 m,,,,1.48 m,520 L,14 cm,5/5,,,,83%,100%,95%,78%,
Volkswagen Golf R 2019,https://www.donedeal.ie/cars-for-sale/volkswagen-golf-r-2019/39296373,R,"144,867 km",2.0 L Petrol,Nov 2026,2019,Automatic,2,Volkswagen,Petrol,Hatchback,3,Sports Trim,5,White,790,Ireland,Unknown country,,Independent Dealer,"Tallaght, Co. Dublin",Golf,"€31,950",2.0 L,4.26 m,55 L,1.79 m,5.5 L/100 km,6.4 L/100 km,7.8 L/100 km,1.47 m,"1,233 L",13 cm,,,,,,,,,
Ford Fiesta 2013,https://www.donedeal.ie/cars-for-sale/ford-fiesta-2013/39131906,-,"137,500 km",1.2 L Petrol,May 2025,2013,Manual,4,Ford,Petrol,Hatchback,4,Base Trim,5,Red,270,Ireland,No,,"Private Seller
No rating yet","Carrigaline, Co. Cork",Fiesta,"€6,450",1.2 L,3.95 m,42 L,1.72 m,4.4 L/100 km,5.5 L/100 km,7.3 L/100 km,1.48 m,979 L,,,,,,,,,,
Mercedes-Benz C-Class AMG LINE - 2.1 DIESEL - AUTO,https://www.donedeal.ie/cars-for-sale/mercedes-benz-c-class-amg-line-2-1-diesel-auto/39296289,AMG,"109,147 km",2.1 L Diesel,Jan 2027,2017,Automatic,2,Mercedes-Benz,Diesel,Saloon,4,Sports Trim,5,Silver,200,Ireland,UK,,Independent Dealer,"Naas, Co. Kildare",C-Class,"€23,950",2.1 L,4.69 m,,1.81 m,3.6 L/100 km,4.3 L/100 km,5.3 L/100 km,1.44 m,,,5/5,,,,84%,70%,92%,77%,
Toyota C-HR 1.8 Hybrid SOL 5DR,https://www.donedeal.ie/cars-for-sale/toyota-c-hr-1-8-hybrid-sol-5dr/39296261,Sol,"60,584 km",1.8 L Hybrid,Jan 2025,2019,Automatic,1,Toyota,Hybrid,SUV,4,Luxury Trim,5,Black,180,Ireland,No,Co. Westmeath,"Franchise Dealer
4.5/5","Mullingar, Co. Westmeath",C-HR,"€24,950",1.8 L,4.36 m,,1.80 m,4.1 L/100 km,3.8 L/100 km,3.4 L/100 km,1.57 m,"1,160 L",,5/5,,,,77%,78%,95%,76%,
Nissan Note 1.2L 2019,https://www.donedeal.ie/cars-for-sale/nissan-note-1-2l-2019/38725396,XE,"60,300 km",1.2 L Petrol,Nov 2026,2019,Automatic,1,Nissan,Petrol,MPV,5,Base Trim,5,White,190,Ireland,Unknown country,,"Trader
No rating yet","Tuam Road, Co. Galway",Note,"€12,900",1.2 L,4.10 m,41 L,1.70 m,3.2 L/100 km,3.6 L/100 km,4.3 L/100 km,1.53 m,"1,495 L",13 cm,4/5,,,,82%,70%,86%,58%,
Toyota Vitz/YARIS 2019,https://www.donedeal.ie/cars-for-sale/toyota-vitz-yaris-2019/38149186,all,"91,250 km",1.0 L Petrol,Oct 2026,2019,Automatic,0,Toyota,Petrol,Hatchback,5,Medium Trim,5,Silver,190,Ireland,Unknown,,Independent Dealer,Co. Dublin,Vitz,"€12,499",1.0 L,3.95 m,42 L,1.70 m,3.8 L/100 km,4.3 L/100 km,5.2 L/100 km,1.51 m,768 L,14 cm,,,,,,,,,
Toyota Yaris MC 1.0 Luna AIR Conditioning 5DR,https://www.donedeal.ie/cars-for-sale/toyota-yaris-mc-1-0-luna-air-conditioning-5dr/39296259,N,"134,000 km",1.0 L Petrol,Oct 2025,2010,Manual,3,Toyota,,,,,,,,Ireland,No,,Independent Dealer,"Clondalkin, Co. Dublin",Yaris,"€5,495",,,,,,,,,,,,,,,,,,,
