name,url,Trim,Mileage,Engine,NCT_Expiry,Year,Transmission,Total_Owners,Make,Fuel_Type,Body_Type,Doors,Trim_Level,Seats,Colour,Road_Tax,Current_Country_Of_Reg,Imported,County,Independant_Dealer,Dublin2,Model,Price,Engine_Size,External_Length,Fuel_Tank_Capacity,External_Width,Rural_Fuel_Consumption,Comb_Fuel_Consumption,Urban_Fuel_Consumption,External_Height,Boot_Volume,Ground_Clearance,Euro_NCAP_Overall_Safety_Rating,Engine_Power,Top_Speed,Acceleration,Child_Protection_Rating,Safety_Assistance_Rating,Adult_Protection_Rating,Pedestrian_Protection_Rating,Battery_Capacity
Land Rover Range Rover Evoque 2.0d FWD S,https://www.donedeal.ie/cars-for-sale/land-rover-range-rover-evoque-2-0d-fwd-s/38959991,S,"67,000 mi",2.0 L Diesel,Mar 2026,2020,Manual,1,Land Rover,Diesel,SUV,5,Medium Trim,5,Black,400,Ireland,UK,Co. Limerick,"Franchise Dealer
4.0/5",Co. Limerick,Range Rover Evoque,"€29,950",2.0 L,4.37 m,54 L,1.90 m,,5.4 L/100 km,,1.65 m,"1,156 L",21 cm,5/5,,,,87%,73%,94%,72%,
Volkswagen Crafter 2.0 TDI 140PS Commerce High Ro,https://www.donedeal.ie/cars-for-sale/volkswagen-crafter-2-0-tdi-140ps-commerce-high-ro/39429298?campaign=3,---,---,Diesel,---,2025,Manual,---,,Diesel,---,---,---,---,Grey,,,,,Franchise Dealer,"Dungannon, Co. Tyrone",Crafter,"£32,950",,,,,,,,,,,,,,,,,,,
Opel Insignia €5500,https://www.donedeal.ie/cars-for-sale/opel-insignia-5500/39383385?campaign=3,SE,"145,000 km",2.0 L Diesel,Jan 2026,2014,Manual,3,Opel,Diesel,Saloon,4,Medium Trim,5,Silver,180,Ireland,No,,"Verified Private Seller
3.0/5 (2)","Arklow, Co. Wicklow",Insignia,"€5,500",2.0 L,4.84 m,70 L,1.86 m,3.3 L/100 km,3.7 L/100 km,4.6 L/100 km,1.48 m,"1,015 L",,,,,,,,,,
30kW Nissan Leaf 2016 SV Cold Pack,https://www.donedeal.ie/cars-for-sale/30kw-nissan-leaf-2016-sv-cold-pack/38929612?campaign=3,SV,"152,641 km",200 km (NEDC) Electric,Nov 2026,2016,Automatic,3,Nissan,Electric,Hatchback,5,Medium Trim,5,Blue,120,Ireland,No,,"Verified Private Seller
5.0/5 (1)","Donegal Town, Co. Donegal",Leaf,"€4,950",,4.45 m,,1.77 m,,,,1.55 m,,,5/5,109 hp,140 km/h,11.5 sec,83%,84%,89%,65%,
Low mileage opel corsa limited edition,https://www.donedeal.ie/cars-for-sale/low-mileage-opel-corsa-limited-edition/38861170,---,119 mi,1.2 L Petrol,Nov 2025,2013,---,5,Vauxhall,Petrol,Hatchback,---,---,5,White,270,Ireland,UK,,"Verified Private Seller
1.3/5 (7)","South City, Co. Dublin",Corsa,"€3,650",,,,,,,,,,,,,,,,,,,
Bmw 520d 2012 Efficient Dynamics,https://www.donedeal.ie/cars-for-sale/bmw-520d-2012-efficient-dynamics/39362273,EfficientDynamics,"205,999 km",2.0 L Diesel,Feb 2025,2012,Manual,4,BMW,Diesel,Saloon,4,Base Trim,5,Silver,200,Ireland,N. Ireland,,"Verified Private Seller
No rating yet","Allenwood, Co. Kildare",5-Series,"€6,450",2.0 L,4.90 m,,1.86 m,3.9 L/100 km,4.5 L/100 km,5.6 L/100 km,1.46 m,,14 cm,,,,,,,,,
2011 Mercedes-Benz G-Class 320CDI BRABUS 5DR AUTO,https://www.donedeal.ie/cars-for-sale/2011-mercedes-benz-g-class-320cdi-brabus-5dr-auto/39362276,---,"110,000 mi",3.0 L Diesel,---,2011,Unknown,4,Mercedes-Benz,Diesel,Crew Cab,5,---,5,Green,333,Ireland,UK,Co. Cork,"Franchise Dealer
4.3/5","Cork City, Co. Cork",G-Class,"€79,950",3.0 L,,,,,,,,,,,,,,,,,,
Opel GRANDLAND X Grandland X Gs-1.2 130BHP -pet,https://www.donedeal.ie/cars-for-sale/opel-grandland-x-grandland-x-gs-1-2-130bhp-pet/38563942,---,"16,546 km",1.2 L Petrol,Apr 2027,2023,Manual,1,Opel,Petrol,SUV,4,---,5,Grey,270,Ireland,No,Co. Waterford,"Franchise Dealer
4.8/5",Co. Waterford,Grandland X,No Price,,,,,,,,,,,,,,,,,,,
Volvo V40 2.0 D4 Auto / Cross Country Dynamic ED,https://www.donedeal.ie/cars-for-sale/volvo-v40-2-0-d4-auto-cross-country-dynamic-ed/38626097,---,"58,731 mi",2.0 L Diesel,---,2017,Automatic,1,Volvo,Diesel,Hatchback,5,---,---,Red,,,,Co. Galway,Franchise Dealer,Co. Galway,V40,"€18,950",,,,,,,,,,,,,,,,,,,
2016 Skoda Superb,https://www.donedeal.ie/cars-for-sale/2016-skoda-superb/39362250,Style,"244,000 km",1.6 L Diesel,Apr 2027,2016,Manual,3,Skoda,Diesel,Estate,4,Medium Trim,5,Grey,190,Ireland,No,,"Private Seller
No rating yet",Co. Westmeath,Superb,"€9,950",1.6 L,4.86 m,,1.86 m,3.7 L/100 km,4.1 L/100 km,4.8 L/100 km,1.47 m,,,,,,,,,,,
