name,url,Trim,Mileage,Engine,NCT_Expiry,Year,Transmission,Total_Owners,Make,Fuel_Type,Body_Type,Doors,Trim_Level,Seats,Colour,Road_Tax,Rural_Fuel_Consumption,Comb_Fuel_Consumption,Urban_Fuel_Consumption,Engine_Size,External_Length,External_Height,External_Width,Euro_NCAP_Overall_Safety_Rating,Child_Protection_Rating,Safety_Assistance_Rating,Adult_Protection_Rating,Pedestrian_Protection_Rating,Current_Country_Of_Reg,Imported,Independant_Dealer,Dublin2,Model,Price,Boot_Volume,Ground_Clearance,County,Fuel_Tank_Capacity,Engine_Power,Top_Speed,Battery_Capacity,Acceleration,section
Land Rover Discovery 2 Crewcab 2003,https://www.donedeal.ie/cars-for-sale/land-rover-discovery-2-crewcab-2003/39501928?campaign=3,N,"176,000 mi",2.5 L Diesel,Jan 2020,2003,Manual,10,Land Rover,,,,,,,,,,,,,,,,,,,,Ireland,No,"Verified Private Seller
5.0/5 (1)","Kilkenny City, Co. Kilkenny",Discovery,"€9,995",,,,,,,,,selection1
2021 BMW 5 SERIES 530E HYBRID SE 292BHP,https://www.donedeal.ie/cars-for-sale/2021-bmw-5-series-530e-hybrid-se-292bhp/39203950,SE,"70,879 mi",2.0 L Petrol Plug-in Hybrid,May 2027,2021,Automatic,1,BMW,Petrol Plug-in Hybrid,Saloon,4,Base Trim,5,Blue,140,,6.9 L/100 km,,2.0 L,4.96 m,1.48 m,1.87 m,5/5,,,,,Ireland,No,Independent Dealer,"Tallaght, Co. Dublin",5-Series,"€30,950",410 L,15 cm,Co. Dublin,,,,12 kWh,,selection1
MITSUBISHI OUTLANDER 4H PHEV CVT HYBRID 13.8 KwH,https://www.donedeal.ie/cars-for-sale/mitsubishi-outlander-4h-phev-cvt-hybrid-13-8-kwh/39318350,---,"63,719 mi",2.4 L Petrol Hybrid,Mar 2027,2019,Automatic,1,Mitsubishi,Petrol Hybrid,SUV,5,---,5,Grey,170,,,,,,,,,,,,,Ireland,No,Independent Dealer,"Tallaght, Co. Dublin",Outlander,"€24,950",,,Co. Dublin,,,,,,selection1
MERCEDES-BENZ EQC 400 SPORT 4MATIC 80KwH BATTERY,https://www.donedeal.ie/cars-for-sale/mercedes-benz-eqc-400-sport-4matic-80kwh-battery/39163525,---,"87,009 mi",400 km Electric,Feb 2027,2021,Automatic,1,Mercedes-Benz,Electric,SUV,5,---,5,White,120,,,,,,,,,,,,,UK,,Independent Dealer,"Tallaght, Co. Dublin",400,"€29,950",,,Co. Dublin,,,,,,selection1
BMW 3 SERIES 330E XDRIVE SPORT PRO HYBRID,https://www.donedeal.ie/cars-for-sale/bmw-3-series-330e-xdrive-sport-pro-hybrid/39305520,Sport Pro,"53,274 mi",2.0 L Petrol Plug-in Hybrid,Apr 2027,2021,Automatic,1,BMW,Petrol Plug-in Hybrid,Saloon,4,Sports Trim,5,Blue,140,,7.0 L/100 km,,2.0 L,4.71 m,1.44 m,1.83 m,,,,,,Ireland,No,Independent Dealer,"Tallaght, Co. Dublin",3-Series,"€30,950",,15 cm,Co. Dublin,,,,12 kWh,,selection1
AUDI Q5 S LN COMP 55 TFSI E QUATTRO 202 REG,https://www.donedeal.ie/cars-for-sale/audi-q5-s-ln-comp-55-tfsi-e-quattro-202-reg/39108172,S Line Competition,"111,153 mi",2.0 L Petrol Plug-in Hybrid,Apr 2027,2020,Automatic,1,Audi,Petrol Plug-in Hybrid,SUV,5,Luxury Trim,5,Grey,170,,,,2.0 L,4.66 m,1.66 m,1.89 m,5/5,,,,,Ireland,No,Independent Dealer,"Tallaght, Co. Dublin",Q5,"€35,995",465 L,21 cm,Co. Dublin,,367 hp,,,5.3 sec,selection1
MERCEDES-BENZ EQC 400 SPORT 4MATIC CREAM LEATHER,https://www.donedeal.ie/cars-for-sale/mercedes-benz-eqc-400-sport-4matic-cream-leather/39013111,all,"29,346 mi",400 km Electric,---,2022,Automatic,1,Mercedes-Benz,Electric,SUV,5,Base Trim,5,Blue,120,,,,,4.76 m,1.62 m,1.88 m,5/5,,,,,Ireland,No,Independent Dealer,"Tallaght, Co. Dublin",EQC,"€39,950","1,460 L",10 cm,Co. Dublin,,408 hp,,,5.1 sec,selection1
BMW 5 SERIES 530E ESTATE 292BHP CREAM LEATHER,https://www.donedeal.ie/cars-for-sale/bmw-5-series-530e-estate-292bhp-cream-leather/39219894,SE,"103,027 mi",2.0 L Petrol Plug-in Hybrid,Feb 2026,2022,Automatic,1,BMW,Petrol Plug-in Hybrid,Estate,5,Base Trim,5,Blue,140,,7.2 L/100 km,,2.0 L,4.96 m,1.50 m,1.87 m,5/5,,,,,Ireland,No,Independent Dealer,"Tallaght, Co. Dublin",5-Series,"€33,950","1,700 L",14 cm,Co. Dublin,46 L,,,12 kWh,,selection1
LAND ROVER RANGE ROVER SPORT LWB 3.0 TDV6 HSE,https://www.donedeal.ie/cars-for-sale/land-rover-range-rover-sport-lwb-3-0-tdv6-hse/38893648,HSE,"212,536 km",3.0 L Diesel,Sep 2025,2014,Automatic,4,Land Rover,Diesel,SUV,5,Medium Trim,5,Red,1250,7.8 L/100 km,8.5 L/100 km,9.7 L/100 km,3.0 L,4.78 m,1.78 m,1.93 m,,,,,,Ireland,No,Independent Dealer,"Tallaght, Co. Dublin",Range Rover Sport,"€22,950",,,Co. Dublin,,,,,,selection1
MITSUBISHI OUTLANDER 2.2 DI-D 4X4 GX3 5DR 7 SEATER,https://www.donedeal.ie/cars-for-sale/mitsubishi-outlander-2-2-di-d-4x4-gx3-5dr-7-seater/39211052,Intense,"213,349 km",2.3 L Diesel,Aug 2025,2015,Manual,1,Mitsubishi,Diesel,SUV,5,Base Trim,7,White,280,4.7 L/100 km,5.4 L/100 km,6.5 L/100 km,2.3 L,4.66 m,1.68 m,1.80 m,,,,,,Ireland,UK,Independent Dealer,"Tallaght, Co. Dublin",Outlander,"€11,995",913 L,19 cm,Co. Dublin,60 L,,,,,selection1
Mercedes-Benz A-Class A250e AMG HYBRID 2021,https://www.donedeal.ie/cars-for-sale/mercedes-benz-a-class-a250e-amg-hybrid-2021/38874169,AMG Line,"56,957 mi",1.3 L Petrol Plug-in Hybrid,May 2027,2021,Automatic,1,Mercedes-Benz,Petrol Plug-in Hybrid,Hatchback,5,Medium Trim,5,Grey,140,,,,1.3 L,4.42 m,1.44 m,1.80 m,5/5,,,,,Ireland,No,Independent Dealer,"Tallaght, Co. Dublin",A-Class,"€26,950","1,195 L",11 cm,Co. Dublin,43 L,,,15.6 kWh,,selection1
2021 BMW 3 SERIES 330E SE PRO HYBRID 292BHP,https://www.donedeal.ie/cars-for-sale/2021-bmw-3-series-330e-se-pro-hybrid-292bhp/39194876,SE Pro,"118,046 mi",2.0 L Petrol Hybrid,Mar 2027,2021,Automatic,1,BMW,Petrol Hybrid,Saloon,4,Medium Trim,5,Black,140,,6.8 L/100 km,,2.0 L,4.71 m,1.44 m,1.83 m,,,,,,Ireland,No,Independent Dealer,"Tallaght, Co. Dublin",3-Series,"€22,995",,15 cm,Co. Dublin,,,,,,selection1
BMW 8-Series M8 COMPETITION 4DR 625BHP,https://www.donedeal.ie/cars-for-sale/bmw-8-series-m8-competition-4dr-625bhp/38165279,---,"37,289 km",4.4 L Petrol,Sep 2026,2020,Automatic,3,BMW,Petrol,Coupe,4,---,5,Grey,2400,,,,4.4 L,,,,,,,,,Ireland,UK,Independent Dealer,"Tallaght, Co. Dublin",M8,"€109,950",,,Co. Dublin,,,,,,selection1
