Trim,Mileage,Engine,NCT_Expiry,Year,Transmission,Total_Owners,Make,Fuel_Type,Body_Type,Doors,Trim_Level,Seats,Colour,Road_Tax,Rural_Fuel_Consumption,Comb_Fuel_Consumption,Urban_Fuel_Consumption,Engine_Size,External_Length,External_Height,External_Width,Euro_NCAP_Overall_Safety_Rating,Child_Protection_Rating,Safety_Assistance_Rating,Adult_Protection_Rating,Pedestrian_Protection_Rating,Current_Country_Of_Reg,Imported,Independant_Dealer,Counties,Model,Price,Boot_Volume,Ground_Clearance,County,Fuel_Tank_Capacity,Engine_Power,Top_Speed,Battery_Capacity,Acceleration,section,combined,sentiment,sentiment3,sentiment2
Titanium,241182.12976,2.0 L Diesel,Mar 2026,2015.0,Manual,2,Ford,Diesel,Hatchback,5,Luxury Trim,5,Black,200.0,4.0 L/100 km,4.4 L/100 km,5.1 L/100 km,2.0 L,4.87 m,1.48 m,1.85 m,,,,,,Ireland,UK,Independent Dealer,Co. Kilkenny,Mondeo,7950.0,"1,437 L",13 cm,,60 L,,,,,selection1,Ford Mondeo,0.4681818181818182,2,2
Executive,30000.0,1.6 L Petrol Plug-in Hybrid,Feb 2026,2022.0,Automatic,1,Hyundai,Petrol Plug-in Hybrid,SUV,5,Medium Trim,5,Red,140.0,,1.4 L/100 km,,1.6 L,4.48 m,1.66 m,1.85 m,,,,,,Ireland,No,"Franchise Dealer
4.8/5","Clonmel, Co. Tipperary",Tucson,37495.0,"1,503 L",17 cm,Co. Tipperary,42 L,,,13.8 kWh,,selection1,Hyundai Tucson,0.1600852272727273,2,2
---,150862.0,1.3 L Petrol Hybrid,Apr 2026,2013.0,---,2,Honda,Petrol Hybrid,Estate,5,---,5,White,170.0,,,,,,,,,,,,,Ireland,Unknown country,"Private Seller
No rating yet","Tullamore, Co. Offaly",Shuttle,7000.0,,,,,,,,,selection1,Honda Shuttle,0.45,2,5
N,352150.0,1.6 L Petrol,Jan 2026,2008.0,Manual,2,Toyota,,,,,,,,,,,,,,,,,,,,Ireland,No,"Private Seller
No rating yet","Ballinrobe, Co. Mayo",Corolla,2400.0,,,,,,,,,selection1,Toyota Corolla,0.1815716911764706,1,1
SE,61803.0,2.0 L Diesel,Mar 2027,2023.0,Automatic,1,Audi,Diesel,Saloon,5,Base Trim,5,Black,,,,,2.0 L,4.94 m,,1.89 m,5/5,85%,76%,93%,81%,Ireland,No,"Franchise Dealer
4.2/5","Cork City, Co. Cork",A6,48995.0,530 L,,Co. Cork,,,,,,selection1,Audi A6,0.4166666666666667,2,5
---,35952.6556,1.0 L Petrol,---,2020.0,Manual,---,Renault,Petrol,---,---,---,5,Red,,,,,,,,,,,,,,UK,,Franchise Dealer,"Ballymena, Co. Antrim",Captur,14028.3,,,,,,,,,selection1,Renault Captur,-0.4083333333333332,1,1
---,50.0,1.0 L Petrol,Mar 2029,2025.0,Manual,---,Kia,Petrol,Hatchback,---,---,---,Black,,,,,,,,,,,,,,Ireland,No,"Franchise Dealer
4.7/5","Maynooth, Co. Kildare",Ceed,28950.0,,,Co. Kildare,,,,,,selection1,Kia Ceed,0.1712962962962962,1,3
---,78000.0,1.5 L Hybrid,Dec 2026,2018.0,Automatic,---,Honda,Hybrid,Hatchback,4,---,---,Burgundy,,,,,,,,,,,,,,Ireland,No,Independent Dealer,"Lusk, Co. Dublin",Fit,12950.0,,,Co. Dublin,,,,,,selection1,Honda Fit,0.3854166666666667,2,4
R-Line,186683.44,1.4 L Petrol Plug-in Hybrid,---,2021.0,Automatic,1,Volkswagen,Petrol Plug-in Hybrid,Estate,5,Luxury Trim,5,Silver,140.0,,0.5 L/100 km,,1.4 L,4.87 m,1.46 m,1.87 m,5/5,,,,,UK,,Independent Dealer,"Kilmainham, Co. Dublin",Arteon,26950.0,"1,632 L",,Co. Dublin,,,,,,selection1,Volkswagen Arteon,0.1684573002754821,2,3
Comfortline,187000.0,2.0 L Diesel,Jan 2027,2017.0,Manual,5,Volkswagen,Diesel,SUV,4,Medium Trim,5,White,270.0,4.2 L/100 km,4.7 L/100 km,5.7 L/100 km,2.0 L,4.49 m,1.65 m,1.84 m,5/5,84%,68%,96%,72%,Ireland,No,"Private Seller
No rating yet","Annacotty, Co. Limerick",Tiguan,21950.0,,,,,,,,,selection1,Volkswagen Tiguan,0.1372402597402597,1,2
