Trim,Mileage,Engine,NCT_Expiry,Year,Transmission,Total_Owners,Make,Fuel_Type,Body_Type,Doors,Trim_Level,Seats,Colour,Road_Tax,Rural_Fuel_Consumption,Comb_Fuel_Consumption,Urban_Fuel_Consumption,Engine_Size,External_Length,External_Height,External_Width,Euro_NCAP_Overall_Safety_Rating,Child_Protection_Rating,Safety_Assistance_Rating,Adult_Protection_Rating,Pedestrian_Protection_Rating,Current_Country_Of_Reg,Imported,Independant_Dealer,Counties,Model,Price,Boot_Volume,Ground_Clearance,County,Fuel_Tank_Capacity,Engine_Power,Top_Speed,Battery_Capacity,Acceleration,section,combined,sentiment,sentiment3,sentiment2
COMFORTLINE,237267.0,1.2 L Diesel,Mar 2026,2012.0,Manual,6,Volkswagen,Diesel,Hatchback,4,Medium Trim,5,Black,190.0,3.4 L/100 km,3.9 L/100 km,4.8 L/100 km,1.2 L,3.97 m,1.46 m,1.68 m,,,,,,Ireland,No,"Private Seller
No rating yet","Wexford Town, Co. Wexford",Polo,5000.0,,,,,,,,,,Volkswagen Polo,0.3681818181818181,2,1
ACTIVE,35000.0,1.0 L Petrol,May 2026,2022.0,Manual,1,Skoda,Petrol,Hatchback,5,Base Trim,5,Blue,190.0,,5.1 L/100 km,,1.0 L,4.11 m,,1.78 m,5/5,81%,71%,85%,70%,Ireland,No,"Verified Private Seller
No rating yet","Dungloe, Co. Donegal",Fabia,15950.0,,,,,,,,,,Skoda Fabia,0.0,1,5
all,247602.0,1.8 L Diesel,Jul 2026,2015.0,Manual,1,Mitsubishi,Diesel,SUV,5,---,5,Silver,280.0,,,,1.8 L,,,,,,,,,Ireland,UK,"Franchise Dealer
4.4/5","Ballina, Co. Mayo",ASX,10950.0,,,Co. Mayo,,,,,,,Mitsubishi ASX,0.3786363636363636,2,4
AMBITION,164000.0,1.2 L Petrol,Mar 2026,2012.0,Manual,5,Skoda,Petrol,Hatchback,4,Medium Trim,5,Beige,270.0,4.5 L/100 km,5.5 L/100 km,7.3 L/100 km,1.2 L,4.00 m,1.50 m,1.64 m,,,,,,Ireland,No,"Private Seller
No rating yet","PortLaoise, Co. Laois",Fabia,2950.0,,,,,,,,,,Skoda Fabia,0.0,1,5
---,154496.63999999998,2.0 L Diesel,---,2021.0,Automatic,1,Volkswagen,Diesel,Hatchback,5,---,5,Blue,210.0,,,,,,,,,,,,,UK,,Independent Dealer,"Dromore, Co. Tyrone",Golf,21645.0,,,Co. Tyrone,,,,,,,Volkswagen Golf,0.0,1,5
Titanium,225515.20486,2.0 L Diesel,Sep 2025,2013.0,Manual,4,Ford,Diesel,Hatchback,5,Luxury Trim,5,White,270.0,4.6 L/100 km,5.3 L/100 km,6.4 L/100 km,2.0 L,4.78 m,1.50 m,1.89 m,,,,,,Ireland,UK,"Private Seller
No rating yet","Westport, Co. Mayo",Mondeo,5500.0,,,,,,,,,,Ford Mondeo,0.4681818181818182,2,2
SZ4,86857.0,1.0 L Petrol,Sep 2025,2017.0,Manual,2,Suzuki,Petrol,Hatchback,5,Base Trim,5,Grey,200.0,4.6 L/100 km,5.0 L/100 km,5.7 L/100 km,1.0 L,4.30 m,1.58 m,1.79 m,,,,,,Ireland,No,"Franchise Dealer
4.4/5","Ballina, Co. Mayo",SX4 S-Cross,14950.0,,,Co. Mayo,,,,,,,Suzuki SX4 S-Cross,0.19,1,4
K3,87918.0,1.6 L Diesel Hybrid,Jun 2025,2021.0,Manual,1,Kia,Diesel Hybrid,MPV,5,Medium Trim,5,Black,,,,,1.6 L,4.49 m,1.64 m,1.86 m,5/5,83%,71%,90%,66%,Ireland,No,Franchise Dealer,"Edenderry, Co. Offaly",Sportage,29000.0,"1,492 L",17 cm,,58 L,115 hp,175 km/h,0.4 kWh,11.8 sec,,Kia Sportage,0.1666666666666666,1,4
PLUS,9452.0,1.2 L Petrol,Jul 2028,2024.0,Manual,1,Citroen,Petrol,Hatchback,4,Luxury Trim,5,White,200.0,3.9 L/100 km,5.4 L/100 km,4.9 L/100 km,1.2 L,4.00 m,,1.75 m,,,,,,Ireland,No,Franchise Dealer,"Kilkenny, Co. Kilkenny",C3,20900.0,922 L,,Co. Kilkenny,45 L,,,,,,Citroen C3,0.1844444444444444,1,5
e-GOLF,77000.0,300 km (NEDC) Electric,Sep 2026,2019.0,Automatic,1,Volkswagen,Electric,Hatchback,5,Base Trim,5,Grey,120.0,,,,,4.27 m,1.43 m,1.79 m,,,,,,Ireland,UK,"Private Seller
No rating yet","North City, Co. Dublin",Golf,15000.0,"1,231 L",14 cm,,,136 hp,150 km/h,,9.6 sec,,Volkswagen Golf,0.0,1,5
TOMTOM ED,327000.0,1.5 L Diesel,May 2025,2011.0,Manual,5,Renault,Diesel,Saloon,4,Medium Trim,5,Black,200.0,4.0 L/100 km,4.6 L/100 km,5.6 L/100 km,1.5 L,4.62 m,1.48 m,1.81 m,,,,,,Ireland,No,"Private Seller
5.0/5 (1)",Co. Kildare,Fluence,2100.0,,,,,,,,,,Renault Fluence,0.3178571428571429,1,3
---,173084.517,2.2 L Diesel,---,2012.0,Manual,4,Land Rover,Diesel,SUV,3,---,5,White,400.0,,,,,,,,,,,,,Northern Ireland,,"Verified Private Seller
4.0/5 (4)","Dundalk, Co. Louth",Range Rover Evoque,6750.0,,,,,,,,,,Land Rover Range Rover Evoque,-0.75,1,2
Allure,0.0,1.5 L Diesel,Mar 2029,2025.0,Manual,0,Peugeot,Diesel,MPV,5,Base Trim,4,Blue,0.0,,5.5 L/100 km,,1.5 L,4.75 m,1.82 m,1.85 m,,,,,,Ireland,Unknown,Independent Dealer,Co. Westmeath,Rifter,37995.0,,,Co. Westmeath,,,,,,,Peugeot Rifter,0.0,1,4
Executive Plus,21000.0,1.6 L Diesel,Jan 2028,2024.0,Manual,1,Hyundai,Diesel,SUV,5,Luxury Trim,5,Blue,210.0,,5.3 L/100 km,,1.6 L,4.50 m,1.65 m,1.87 m,,,,,,Ireland,No,"Franchise Dealer
4.8/5","Kildare, Co. Kildare",Tucson,42950.0,,,Co. Kildare,,,,,,,Hyundai Tucson,0.1600852272727273,2,2
DYNAMIQUE,,1.5 L Diesel,Feb 2025,2014.0,Manual,4,Renault,Diesel,Saloon,4,Medium Trim,5,Red,200.0,4.0 L/100 km,4.5 L/100 km,5.4 L/100 km,1.5 L,4.62 m,1.48 m,1.81 m,4/5,83%,84%,72%,37%,Ireland,No,"Verified Private Seller
No rating yet","Cavan, Co. Cavan",Fluence,3700.0,530 L,,,,,,,,,Renault Fluence,0.3178571428571429,1,3
N,45061.52,1.8 L Petrol,---,2005.0,Manual,2,Toyota,,,,,,,636.0,,,,,,,,,,,,,Northern Ireland,,"Private Seller
No rating yet","Derry City, Co. Derry",Avensis,4089.15,,,,,,,,,,Toyota Avensis,0.0589657738095238,1,2
Zetec,115000.0,1.0 L Petrol,May 2025,2015.0,Manual,1,Ford,Petrol,Hatchback,3,Medium Trim,5,Black,190.0,3.8 L/100 km,4.3 L/100 km,5.1 L/100 km,1.0 L,3.97 m,1.47 m,1.71 m,5/5,86%,71%,91%,65%,Ireland,N. Ireland,"Verified Private Seller
No rating yet","Dublin 1, Co. Dublin",Fiesta,8250.0,974 L,,,,,,,,,Ford Fiesta,0.1742424242424242,2,5
SV,29100.0,1.2 L Petrol,Jan 2025,2019.0,Manual,1,Nissan,Petrol,MPV,4,Medium Trim,5,Red,270.0,,5.8 L/100 km,,1.2 L,4.39 m,1.59 m,1.81 m,5/5,83%,79%,88%,69%,Ireland,No,Franchise Dealer,Co. Limerick,Qashqai,21950.0,"1,585 L",,,,,,,,,Nissan Qashqai,0.019047619047619,1,2
PLATINUM,166000.0,2.2 L Diesel,Jul 2026,2016.0,Manual,1,Mazda,Diesel,Saloon,4,Sports Trim,5,Blue,190.0,3.6 L/100 km,4.2 L/100 km,5.1 L/100 km,2.2 L,4.87 m,1.45 m,1.84 m,,,,,,Ireland,UK,Independent Dealer,Co. Dublin,Mazda6,10800.0,489 L,17 cm,Co. Dublin,,,,,,,Mazda Mazda6,-0.0378787878787878,2,5
Luna,151239.33583999999,1.8 L Petrol Hybrid,Jul 2025,2017.0,Automatic,2,Toyota,Petrol Hybrid,MPV,4,Medium Trim,5,Black,180.0,3.4 L/100 km,3.5 L/100 km,3.4 L/100 km,1.8 L,4.28 m,1.46 m,1.76 m,,,,,,Ireland,No,Independent Dealer,"Dublin 12, Co. Dublin",Auris,15450.0,,,Co. Dublin,45 L,136 hp,180 km/h,1.3 kWh,10.9 sec,,Toyota Auris,0.2433333333333333,1,2
Instyle,152887.3,2.0 L Petrol Plug-in Hybrid,Oct 2025,2017.0,Automatic,2,Mitsubishi,Petrol Plug-in Hybrid,SUV,5,Luxury Trim,5,Silver,170.0,,,,2.0 L,4.70 m,1.71 m,1.80 m,,,,,,Ireland,UK,Independent Dealer,Co. Dublin,Outlander,17800.0,"1,590 L",18 cm,Co. Dublin,45 L,,,12 kWh,,,Mitsubishi Outlander,0.0714718614718614,1,1
Elite,131000.0,1.4 L Petrol,Sep 2025,2015.0,Manual,1,Opel,Petrol,Hatchback,5,Luxury Trim,5,Black,400.0,4.7 L/100 km,5.6 L/100 km,7.2 L/100 km,1.4 L,4.66 m,1.50 m,1.81 m,5/5,,,,,Ireland,UK,Independent Dealer,Co. Dublin,Astra,7800.0,,,Co. Dublin,,,,,,,Opel Astra,0.2083333333333333,1,4
HIGHLINE,153000.0,1.4 L Petrol,Apr 2026,2013.0,Automatic,2,Volkswagen,Petrol,Hatchback,5,Luxury Trim,5,Silver,200.0,4.5 L/100 km,5.0 L/100 km,6.1 L/100 km,1.4 L,4.26 m,1.45 m,1.80 m,,,,,,Ireland,Unknown country,Independent Dealer,Co. Dublin,Golf,11400.0,"1,270 L",14 cm,Co. Dublin,50 L,,,,,,Volkswagen Golf,0.0,1,5
---,86904.36,1.8 L Petrol Hybrid,Dec 2026,2020.0,Automatic,0,Toyota,Petrol Hybrid,Hatchback,5,---,5,Silver,170.0,,,,,,,,,,,,,Ireland,Unknown,Independent Dealer,Co. Dublin,Prius,20550.0,,,Co. Dublin,,,,,,,Toyota Prius,0.0636058059587471,1,2
---,98169.74,1.2 L Petrol,Sep 2026,2017.0,---,4,Mitsubishi,Petrol,Hatchback,5,---,5,Silver,180.0,,,,,,,,,,,,,Ireland,Unknown country,"Trader
4.7/5 (3)","PortLaoise, Co. Laois",Mirage,9950.0,,,,,,,,,,Mitsubishi Mirage,0.0243801652892562,2,3
R-Sport,215651.56,2.2 L Diesel,Jul 2025,2015.0,Automatic,3,Jaguar,Diesel,Saloon,4,Medium Trim,5,Black,280.0,4.3 L/100 km,5.4 L/100 km,6.1 L/100 km,2.2 L,4.96 m,1.46 m,1.88 m,,,,,,Ireland,UK,Independent Dealer,"Ballinagh, Co. Cavan",XF,10450.0,963 L,,,,,,,,,Jaguar XF,0.0563948306595365,1,2
ZETEC,219217.0,1.6 L Diesel,Nov 2025,2014.0,Manual,4,Ford,Diesel,Saloon,4,Sports Trim,5,Black,190.0,3.7 L/100 km,4.2 L/100 km,5.1 L/100 km,1.6 L,4.53 m,1.48 m,1.82 m,5/5,82%,71%,92%,72%,Ireland,No,"Private Seller
No rating yet","Westport, Co. Mayo",Focus,5750.0,421 L,,,,,,,,,Ford Focus,0.0116071428571428,1,4
XE,329962.9802,1.5 L Diesel,May 2026,2012.0,Manual,4,Nissan,Diesel,Hatchback,5,Base Trim,5,Red,280.0,4.6 L/100 km,5.2 L/100 km,6.3 L/100 km,1.5 L,4.33 m,1.62 m,1.78 m,,,,,,Ireland,UK,"Franchise Dealer
4.4/5","Ballina, Co. Mayo",Qashqai,5950.0,"1,513 L",,Co. Mayo,,,,,,,Nissan Qashqai,0.019047619047619,1,2
SRI,40000.0,1.2 L Petrol,Apr 2026,2022.0,Manual,1,Opel,Petrol,SUV,4,Medium Trim,5,Black,200.0,,5.6 L/100 km,,1.2 L,4.15 m,,1.79 m,4/5,75%,64%,73%,58%,Ireland,No,Franchise Dealer,"Dublin 6, Co. Dublin",Mokka,22950.0,"1,105 L",,Co. Dublin,44 L,,,,,,Opel Mokka,0.095,1,1
---,111044.46,1.3 L Petrol,Dec 2025,2011.0,Automatic,1,Honda,Petrol,Hatchback,5,---,5,Silver,180.0,,,,1.3 L,,,,,,,,,Ireland,Unknown country,Independent Dealer,Co. Dublin,Fit,5999.0,,,,,,,,,,Honda Fit,0.3854166666666667,2,4
SE,125528.52,1.3 L Petrol Hybrid,Nov 2025,2011.0,Automatic,1,Honda,Petrol Hybrid,Hatchback,5,Medium Trim,5,Silver,180.0,4.2 L/100 km,4.4 L/100 km,4.6 L/100 km,1.3 L,4.40 m,1.43 m,1.70 m,,,,,,Ireland,Unknown,Independent Dealer,Co. Dublin,Insight,5950.0,584 L,,,,,,,,,Honda Insight,0.1708333333333333,1,3
---,107825.78,1.3 L Petrol Hybrid,Jan 2026,2011.0,Unknown,1,Honda,Petrol Hybrid,Estate,5,---,5,Red,180.0,,,,1.3 L,,,,,,,,,Ireland,Unknown country,Independent Dealer,Co. Dublin,Shuttle,6450.0,,,,,,,,,,Honda Shuttle,0.45,2,5
-,127137.86,1.8 L Petrol Hybrid,Oct 2026,2016.0,Automatic,1,Toyota,Petrol Hybrid,Hatchback,5,Medium Trim,5,Black,170.0,3.9 L/100 km,3.9 L/100 km,3.9 L/100 km,1.8 L,4.28 m,1.46 m,1.76 m,,,,,,Ireland,Unknown country,Independent Dealer,Co. Dublin,Auris,12950.0,,,,,,,,,,Toyota Auris,0.2433333333333333,1,2
---,182470.18788,2.0 L Diesel,Jul 2026,2017.0,Manual,1,Ford,Diesel,MPV,5,---,9,Black,600.0,,,,,,,,,,,,,Ireland,UK,"Verified Private Seller
5.0/5 (122)","Kilcullen, Co. Kildare",Tourneo Custom,29500.0,,,,,,,,,,Ford Tourneo Custom,0.0740783410138248,1,3
S,112000.0,1.0 L Petrol,Mar 2026,2018.0,Manual,2,SEAT,Petrol,Hatchback,5,Base Trim,4,White,190.0,3.8 L/100 km,4.4 L/100 km,5.4 L/100 km,1.0 L,3.56 m,1.48 m,1.65 m,,,,,,Ireland,No,Independent Dealer,Co. Dublin,Mii,8750.0,,,,,,,,,,SEAT Mii,0.072556648777579,1,3
LIFE,85000.0,1.5 L Diesel,Jun 2026,2016.0,Automatic,2,Renault,Diesel,Hatchback,4,Base Trim,5,Silver,180.0,3.7 L/100 km,3.8 L/100 km,,1.5 L,4.12 m,1.57 m,1.78 m,,,,,,Ireland,No,Independent Dealer,Co. Dublin,Captur,11950.0,,,,,,,,,,Renault Captur,-0.4083333333333332,1,1
HIGHLINE,62764.26,1.4 L Petrol,Jan 2026,2011.0,Manual,1,Volkswagen,Petrol,Estate,3,Sports Trim,5,Blue,400.0,5.1 L/100 km,6.2 L/100 km,8.2 L/100 km,1.4 L,4.20 m,1.48 m,1.78 m,,,,,,Ireland,Unknown country,Independent Dealer,Co. Dublin,Golf,7950.0,"1,305 L",,,,,,,,,Volkswagen Golf,0.0,1,5
---,67592.28,1.3 L Petrol,Jan 2026,2011.0,Automatic,1,Honda,Petrol,Hatchback,5,---,5,Blue,180.0,,,,1.3 L,,,,,,,,,Ireland,Unknown,Independent Dealer,Co. Dublin,Fit,5999.0,,,,,,,,,,Honda Fit,0.3854166666666667,2,4
N,115872.48,1.3 L Petrol Hybrid,Mar 2026,2010.0,Unknown,1,Honda,,,,,,,170.0,,,,1.3 L,,,,,,,,,Ireland,Unknown country,Independent Dealer,Co. Dublin,Insight,5950.0,,,,,,,,,,Honda Insight,0.1708333333333333,1,3
---,104607.1,1.5 L Petrol Hybrid,Mar 2026,2011.0,Automatic,1,Honda,Petrol Hybrid,MPV,5,---,6,Silver,170.0,,,,1.5 L,,,,,,,,,Ireland,Unknown country,Independent Dealer,Co. Dublin,Freed,7550.0,,,,,,,,,,Honda Freed,0.0884469696969696,1,1
Elite,88513.7,1.5 L Petrol,Mar 2026,2012.0,Automatic,1,Nissan,Petrol,MPV,5,Base Trim,5,Blue,190.0,3.7 L/100 km,4.2 L/100 km,5.0 L/100 km,1.5 L,4.10 m,1.55 m,1.69 m,,,,,,Ireland,Unknown country,Independent Dealer,Co. Dublin,Note,5950.0,"1,332 L",,,,,,,,,Nissan Note,-0.0074074074074074,1,1
N,100.0,1.4 L Petrol,Dec 2025,2008.0,Manual,7,Toyota,,,,,,,,,,,,,,,,,,,,Ireland,No,"Verified Private Seller
5.0/5 (1)","Mallow, Co. Cork",Corolla,100.0,,,,,,,,,,Toyota Corolla,0.1815716911764706,1,1
SC,,1.6 L Diesel,Jul 2025,2019.0,Manual,2,Opel,Diesel,Hatchback,5,Base Trim,5,Blue,200.0,3.9 L/100 km,4.4 L/100 km,5.2 L/100 km,1.6 L,4.90 m,1.46 m,1.86 m,,,,,,Ireland,No,"Private Seller
No rating yet","Midleton, Co. Cork",Insignia,10500.0,,,,,,,,,,Opel Insignia,0.4604166666666667,1,5
Executive,28654.0,1.6 L Diesel,Jan 2028,2024.0,Manual,1,Hyundai,Diesel,SUV,5,Medium Trim,5,Blue,210.0,,5.8 L/100 km,,1.6 L,4.50 m,1.65 m,1.87 m,5/5,87%,70%,86%,66%,Ireland,No,"Franchise Dealer
4.8/5","Mallow, Co. Cork",Tucson,38497.0,"1,777 L",17 cm,Co. Cork,55 L,,,,,,Hyundai Tucson,0.1600852272727273,2,2
Edge,244000.0,1.6 L Diesel,Jul 2025,2012.0,Manual,5,Ford,Diesel,Estate,4,Medium Trim,5,Brown,200.0,3.7 L/100 km,4.2 L/100 km,5.1 L/100 km,1.6 L,4.53 m,1.48 m,1.82 m,,,,,,Ireland,No,"Private Seller
No rating yet","Glencolmcille, Co. Donegal",Focus,3700.0,,,,,,,,,,Ford Focus,0.0116071428571428,1,4
---,0.0,1.5 L Diesel,---,2025.0,Manual,0,Mercedes-Benz,Diesel,Van,4,---,2,Other,333.0,,,,,,,,,,,,,Ireland,Unknown,Franchise Dealer,"Enniscorthy, Co. Wexford",Citan,25250.0,,,Co. Wexford,,,,,,,Mercedes-Benz Citan,0.0235714285714285,1,1
S LINE,205995.52,1.6 L Diesel,Jul 2025,2015.0,Manual,4,Audi,Diesel,Hatchback,4,Sports Trim,5,Red,180.0,3.4 L/100 km,3.8 L/100 km,4.5 L/100 km,1.6 L,4.31 m,1.43 m,1.79 m,5/5,87%,86%,95%,74%,Ireland,No,"Private Seller
No rating yet","Tralee, Co. Kerry",A3,1.0,"1,220 L",,,50 L,,,,,,Audi A3,0.2924242424242424,1,3
CLASSIC ES,263790.13808,1.6 L Diesel,Feb 2026,2012.0,Manual,4,Volvo,Diesel,Saloon,4,Base Trim,5,Red,200.0,3.8 L/100 km,4.3 L/100 km,5.2 L/100 km,1.6 L,4.48 m,1.45 m,1.77 m,,,,,,Ireland,No,"Independent Dealer
4.5/5","Newbridge, Co. Kildare",S40,5950.0,404 L,,Co. Kildare,,,,,,,Volvo S40,0.3197916666666667,1,5
R-Design,141000.0,1.5 L Petrol Plug-in Hybrid,Jun 2025,2021.0,Automatic,1,Volvo,Petrol Plug-in Hybrid,Estate,5,Medium Trim,5,Red,140.0,,2.1 L/100 km,,1.5 L,4.43 m,,1.87 m,,,,,,Ireland,N. Ireland,Independent Dealer,"Blanchardstown, Co. Dublin",XC40,29499.0,,,,,,,10.7 kWh,,,Volvo XC40,0.1027166193181818,1,3
Exclusive,148000.0,1.6 L Diesel,Aug 2025,2015.0,Manual,2,Citroen,Diesel,Hatchback,5,Luxury Trim,7,Grey,190.0,3.9 L/100 km,4.6 L/100 km,5.8 L/100 km,1.6 L,4.33 m,1.50 m,1.79 m,,,,,,Ireland,UK,Independent Dealer,"Blanchardstown, Co. Dublin",Grand C4 Picasso,8999.0,"1,183 L",,,,,,,,,Citroen Grand C4 Picasso,0.0339285714285714,1,2
Zetec,202776.84,1.5 L Diesel,Nov 2026,2016.0,Manual,1,Ford,Diesel,Hatchback,4,Medium Trim,5,Black,180.0,3.3 L/100 km,3.7 L/100 km,4.4 L/100 km,1.5 L,3.97 m,1.47 m,1.72 m,,,,,,Ireland,No,Independent Dealer,Co. Dublin,Fiesta,6999.0,974 L,,Co. Dublin,41 L,,,,,,Ford Fiesta,0.1742424242424242,2,5
Executive,263931.76,2.2 L Diesel,May 2023,2013.0,Automatic,6,Hyundai,Diesel,SUV,4,Medium Trim,7,Silver,790.0,5.5 L/100 km,6.8 L/100 km,8.9 L/100 km,2.2 L,4.69 m,1.69 m,1.88 m,,,,,,Ireland,No,Independent Dealer,Co. Dublin,Santa Fe,9999.0,,,Co. Dublin,,,,,,,Hyundai Santa Fe,0.3415223665223665,2,4
SE,275197.14,2.0 L Diesel,Mar 2027,2019.0,Automatic,2,Audi,Diesel,Saloon,4,Base Trim,5,Black,270.0,4.0 L/100 km,4.3 L/100 km,4.9 L/100 km,2.0 L,4.74 m,1.43 m,1.84 m,,,,,,Ireland,UK,Independent Dealer,"Finglas, Co. Dublin",A4,18899.0,,,Co. Dublin,,,,,,,Audi A4,0.1259649122807017,1,2
---,47607.49588,2.2 L Diesel,---,2021.0,Automatic,---,Kia,Diesel,---,---,---,7,Red,,,,,,,,,,,,,,Northern Ireland,,Independent Dealer,"Newry, Co. Down",Sorento,37434.15,,,,,,,,,,Kia Sorento,0.2072727272727272,1,1
SE,286379.0,2.0 L Diesel,Jul 2025,2012.0,Manual,4,Audi,Diesel,Saloon,4,Base Trim,5,Grey,270.0,4.4 L/100 km,4.9 L/100 km,6.0 L/100 km,2.0 L,4.92 m,1.46 m,1.87 m,,,,,,Ireland,UK,"Private Seller
5.0/5 (1)","Navan, Co. Meath",A6,6500.0,,,,,,,,,,Audi A6,0.4166666666666667,2,5
Comfort,160465.68206,1.7 L Diesel,Aug 2026,2016.0,Manual,2,Hyundai,Diesel,SUV,5,Base Trim,5,Red,200.0,4.0 L/100 km,4.4 L/100 km,5.1 L/100 km,1.7 L,4.48 m,1.65 m,1.85 m,,,,,,Ireland,N. Ireland,Independent Dealer,"Bandon, Co. Cork",Tucson,15700.0,"1,503 L",17 cm,,62 L,,,,,,Hyundai Tucson,0.1600852272727273,2,2
---,93341.72,3.0 L Petrol,---,2018.0,Automatic,6,BMW,Petrol,Coupe,2,---,4,Grey,790.0,,,,,,,,,,,,,Northern Ireland,,"Private Seller
No rating yet","Cork City, Co. Cork",M2,39999.0,,,,,,,,,,BMW M2,0.0785130718954248,1,1
Limited,30400.0,1.0 L Petrol,Aug 2026,2022.0,Manual,2,Renault,Petrol,Hatchback,5,Base Trim,5,Grey,210.0,,5.9 L/100 km,,1.0 L,4.23 m,,1.80 m,5/5,83%,74%,96%,75%,Ireland,No,"Private Seller
No rating yet","Cootehill, Co. Cavan",Captur,20500.0,,,,,,,,,,Renault Captur,-0.4083333333333332,1,1
N,218000.0,1.1 L Ethanol Petrol,Jun 2025,2010.0,Manual,2,Renault,,,,,,,280.0,,,,,,,,,,,,,Ireland,No,"Private Seller
No rating yet","Cork City, Co. Cork",Clio,2950.0,,,,,,,,,,Renault Clio,0.3897186147186148,2,4
Zetec,322754.0,2.0 L Diesel,Sep 2025,2011.0,Manual,4,Ford,Diesel,MPV,5,Sports Trim,7,Silver,400.0,4.9 L/100 km,5.7 L/100 km,7.2 L/100 km,2.0 L,4.80 m,1.66 m,1.88 m,,,,,,Ireland,No,"Private Seller
5.0/5 (1)","Skibbereen, Co. Cork",S-Max,2500.0,,,,,,,,,,Ford S-Max,0.2285714285714285,1,1
SE,,2.0 L Diesel,Jan 2027,2023.0,Automatic,2,SEAT,Diesel,Estate,5,Base Trim,7,White,270.0,,5.5 L/100 km,,2.0 L,4.74 m,,1.84 m,5/5,84%,79%,97%,79%,Ireland,No,"Franchise Dealer
4.3/5",Co. Waterford,Tarraco,49950.0,"1,175 L",,Co. Waterford,58 L,,,,,,SEAT Tarraco,0.0621997283761989,1,3
SV,79559.0,1.3 L Petrol,Jul 2025,2021.0,Manual,1,Nissan,Petrol,MPV,4,Medium Trim,5,Blue,270.0,,6.3 L/100 km,,1.3 L,4.43 m,,1.84 m,,,,,,Ireland,No,Franchise Dealer,"Killarney, Co. Kerry",Qashqai,24995.0,"1,593 L",,Co. Kerry,55 L,,,,,,Nissan Qashqai,0.019047619047619,1,2
S LINE,207117.22998,1.6 L Diesel,Jun 2025,2011.0,Manual,2,Audi,Diesel,Hatchback,3,Sports Trim,4,Blue,190.0,3.5 L/100 km,3.9 L/100 km,4.7 L/100 km,1.6 L,3.95 m,1.42 m,1.74 m,,,,,,Ireland,UK,Independent Dealer,Co. Dublin,A1,6950.0,920 L,,,,,,,,,Audi A1,0.2572463768115942,1,4
Business,,2.0 L Diesel,Jun 2026,2020.0,Manual,1,Volkswagen,Diesel,Estate,5,Medium Trim,5,Blue,190.0,3.6 L/100 km,4.0 L/100 km,4.5 L/100 km,2.0 L,4.77 m,1.52 m,1.83 m,5/5,87%,76%,85%,66%,Ireland,No,"Franchise Dealer
4.3/5",Co. Waterford,Passat,24950.0,"1,780 L",,Co. Waterford,,,,,,,Volkswagen Passat,0.1682420357420357,1,1
-,208613.0,1.4 L Diesel,Jul 2025,2013.0,Manual,4,Hyundai,Diesel,MPV,5,Base Trim,5,Blue,200.0,4.2 L/100 km,4.5 L/100 km,5.0 L/100 km,1.4 L,4.10 m,1.60 m,1.77 m,,,,,,Ireland,No,Independent Dealer,Co. Dublin,ix20,5450.0,"1,486 L",,,48 L,,,,,,Hyundai ix20,-0.0092592592592592,2,2
COMFORTLINE,306490.7563,1.6 L Diesel,Sep 2025,2014.0,Manual,3,Volkswagen,Diesel,Saloon,4,Medium Trim,5,Silver,200.0,3.8 L/100 km,4.3 L/100 km,5.2 L/100 km,1.6 L,4.77 m,1.47 m,1.82 m,,,,,,Ireland,No,Independent Dealer,Co. Dublin,Passat,6450.0,,,,,,,,,,Volkswagen Passat,0.1682420357420357,1,1
GT Line,,1.0 L Petrol,Oct 2025,2021.0,Manual,1,Kia,Petrol,Hatchback,5,Sports Trim,5,Red,210.0,4.8 L/100 km,5.4 L/100 km,6.3 L/100 km,1.0 L,4.31 m,1.45 m,1.80 m,4/5,85%,68%,88%,52%,Ireland,No,"Franchise Dealer
4.3/5",Co. Waterford,Ceed,21950.0,"1,291 L",,Co. Waterford,,,,,,,Kia Ceed,0.1712962962962962,1,3
xLine,193120.8,3.0 L Diesel,Feb 2027,2020.0,Automatic,2,BMW,Diesel,SUV,4,Base Trim,7,Grey,600.0,5.6 L/100 km,6.0 L/100 km,6.8 L/100 km,3.0 L,4.92 m,1.75 m,2.00 m,,,,,,Ireland,No,Independent Dealer,"Tulsk, Co. Roscommon",X5,49995.0,,,,,,,,,,BMW X5,0.1627846790890269,1,4
---,79000.0,1.5 L Petrol,Nov 2026,2019.0,Automatic,0,Mazda,Petrol,Hatchback,5,---,5,Silver,180.0,,,,1.5 L,,,,,,,,,Ireland,Unknown,Independent Dealer,Co. Dublin,Demio,12499.0,,,,,,,,,,Mazda Demio,0.1818939393939394,2,1
Feel,70000.0,1.2 L Petrol,Jan 2026,2022.0,Manual,1,Citroen,Petrol,Hatchback,4,Base Trim,5,Red,,,,,1.2 L,4.36 m,,1.80 m,4/5,83%,63%,76%,57%,Ireland,No,Independent Dealer,Co. Monaghan,C4,19000.0,"1,250 L",,Co. Monaghan,50 L,,,,,,Citroen C4,0.2787499999999999,1,3
---,56117.6858,1.5 L Diesel,---,2021.0,Manual,1,Ford,Diesel,---,5,---,5,Silver,190.0,,,,,,,,,,,,,Northern Ireland,,Franchise Dealer,"Enniskillen, Co. Fermanagh",Focus,15555.15,,,,,,,,,,Ford Focus,0.0116071428571428,1,4
